,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,연도,연봉
272,273,남재현,21K,-0.34,5,0,0,1,0,1,0,1.0,8.0,13,13,44,10,21.0,
273,274,박관진,21키,-0.37,2,0,0,0,0,0,0,0.0,0.2,9,6,12,5,21.0,3000만원
274,275,강동연,21N,-0.37,12,0,0,3,3,2,0,1.0,23.0,21,20,109,25,21.0,4200만원
275,276,조제영,21두,-0.38,6,0,0,1,0,1,0,0.0,10.2,13,13,60,18,21.0,3100만원
276,277,김대우,21삼,-0.39,31,0,0,4,0,2,0,1.0,51.0,39,36,234,68,21.0,6500만원
277,278,현도훈,21두,-0.4,5,0,0,2,0,0,0,0.0,8.2,12,12,46,9,21.0,3200만원
278,279,최용준,21K,-0.4,3,0,0,2,0,1,0,0.0,6.1,10,10,39,11,21.0,3100만원
279,280,이승재,21K,-0.41,25,0,0,0,2,1,0,5.0,24.0,20,20,118,26,21.0,3600만원
280,281,이충호,21한,-0.43,17,0,0,0,1,0,0,0.0,16.1,17,14,85,20,21.0,3200만원
281,282,이강준,21K롯,-0.43,15,0,0,0,1,0,0,0.0,8.1,11,10,48,11,21.0,3000만원
282,283,장필준,21삼,-0.43,41,0,0,0,0,0,0,2.0,34.2,30,28,174,46,21.0,12000만원
283,284,이승현,21삼,-0.45,21,0,0,0,1,1,0,1.0,17.0,18,18,86,30,21.0,10000만원
284,285,김이환,21한,-0.46,14,0,0,5,0,1,0,0.0,26.0,22,22,132,32,21.0,3500만원
285,286,박정수,21N두,-0.5,12,0,0,5,3,3,0,0.0,30.1,27,25,143,38,21.0,5000만원
286,287,김선기,21키,-0.51,21,0,0,7,3,2,0,0.0,48.1,38,35,224,53,21.0,6300만원
287,288,장재영,21키,-0.55,19,0,0,2,0,1,0,0.0,17.2,18,18,92,15,21.0,3100만원
288,289,이건욱,21S,-0.63,5,0,0,4,0,1,0,0.0,12.2,16,16,72,16,21.0,3200만원
289,290,손주영,21L,-0.63,7,0,0,6,1,3,0,0.0,26.2,25,25,127,31,21.0,3800만원
290,291,서준원,21롯,-0.65,26,0,0,8,1,3,0,3.0,54.0,46,44,257,72,21.0,8400만원
291,292,오주원,21키,-0.68,21,0,0,0,1,1,1,0.0,18.1,20,20,89,33,21.0,
292,293,이승호,21키,-0.68,38,0,0,3,1,3,0,5.0,47.1,39,29,224,55,21.0,
293,294,임준섭,21한,-0.68,13,0,0,0,0,0,0,0.0,10.2,18,13,64,19,21.0,4000만원
294,295,김정빈,21S,-0.72,6,0,0,6,0,1,0,0.0,17.1,20,19,92,20,21.0,3200만원
295,296,김유신,21K,-0.76,15,0,0,11,2,6,0,0.0,54.1,47,46,249,63,21.0,
296,297,노경은,21롯,-0.8,14,0,0,11,3,5,0,0.0,56.1,50,46,269,79,21.0,10000만원
297,298,김현수,21K,-0.87,17,0,0,8,1,4,0,0.0,45.2,43,40,229,57,21.0,
298,299,이보근,21K,-0.88,15,0,0,0,0,1,0,1.0,10.0,18,17,61,25,21.0,
299,300,이승민,21삼,-0.88,11,0,0,11,1,4,0,0.0,35.2,34,34,173,50,21.0,
300,301,송재영,21롯,-0.93,19,0,0,0,0,2,0,1.0,14.2,23,22,79,24,21.0,3100만원
301,302,오원석,21S,-1.0,33,0,0,21,7,6,0,2.0,110.0,84,72,530,125,21.0,6500만원
302,303,이승관,21한,-1.04,8,0,0,2,0,2,0,0.0,5.2,20,17,44,11,21.0,3100만원
303,304,김진성,21N,-1.07,42,0,0,0,2,4,1,9.0,37.2,34,30,174,43,21.0,10000만원
304,305,신정락,21한,-1.08,20,0,0,0,0,2,0,2.0,20.0,24,19,102,25,21.0,5400만원
305,306,이민우,21K,-1.13,16,1,0,12,1,6,0,0.0,57.0,53,51,275,78,21.0,4800만원
306,307,장시환,21한,-1.38,19,1,0,16,0,11,0,1.0,69.0,62,54,342,87,21.0,8700만원
307,308,유희관,21두,-1.48,15,0,0,15,4,7,0,0.0,63.0,57,54,314,107,21.0,
