,순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,연도,연봉
123,124,이진영,21KCF,0.26,17,47,40,8,8,2,1,2,18,5,1,0,3,4,0,22,0,0,0.0,21.0,
124,125,정현,21SN2B,0.25,68,149,117,14,26,5,1,0,33,7,0,1,17,7,0,24,7,8,0.0,21.0,
125,126,이재원,21LRF,0.25,62,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1.0,21.0,100000만원
126,127,박세혁,21두C,0.24,96,270,237,25,52,12,0,0,64,30,4,2,22,5,0,43,6,3,3.0,21.0,30000만원
127,128,최항,21S2B,0.22,34,79,69,5,19,2,1,0,23,7,1,0,6,2,1,16,4,1,1.0,21.0,4000만원
128,129,신용수,21롯CF,0.21,71,136,119,23,31,5,2,1,43,6,3,1,11,3,0,20,2,2,1.0,21.0,4900만원
129,130,유민상,21K1B,0.21,24,74,60,7,14,2,0,1,19,6,0,0,8,6,0,18,1,0,0.0,21.0,
130,131,최형우,21KDH,0.2,104,446,373,52,87,15,1,12,140,55,0,0,67,4,10,67,9,0,2.0,21.0,90000만원
131,132,강진성,21N1B,0.19,124,462,406,49,101,20,0,7,142,38,9,3,36,14,2,68,12,4,2.0,21.0,13000만원
132,133,강한울,21삼3B,0.19,124,258,223,25,58,5,0,0,63,27,2,2,29,0,0,58,5,3,3.0,21.0,10000만원
133,134,천성호,21K2B,0.19,41,47,42,13,12,1,0,0,13,4,1,0,3,2,0,9,0,0,0.0,21.0,
134,135,최정민,21KCF,0.18,39,19,15,5,5,0,0,0,5,1,2,3,3,1,0,7,1,0,0.0,21.0,3600만원
135,136,손성빈,21롯C,0.17,20,22,19,4,6,0,0,0,6,0,0,0,3,0,0,6,0,0,0.0,21.0,
136,137,한석현,21LLF,0.16,16,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1.0,21.0,3900만원
137,138,김민수,21롯2B,0.15,83,224,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1.0,21.0,11500만원
138,139,윤형준,21N1B,0.15,51,81,74,10,22,0,0,5,37,10,0,1,3,0,0,17,2,3,1.0,21.0,4000만원
139,140,남태혁,21S1B,0.15,12,22,20,2,6,1,0,1,10,4,0,0,1,1,0,7,1,0,0.0,21.0,
140,141,전민수,21N,0.15,71,109,98,12,25,3,0,3,37,16,0,0,11,0,1,23,2,0,0.0,21.0,5000만원
141,142,이정훈,21KDH,0.14,41,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0.0,21.0,
142,143,이병규,21롯,0.14,29,43,34,4,8,0,0,0,8,4,0,0,8,1,0,14,2,0,0.0,21.0,
143,144,장두성,21롯CF,0.13,43,41,36,12,8,2,1,0,12,4,4,2,5,0,0,12,0,0,0.0,21.0,3500만원
144,145,황대인,21K1B,0.11,86,308,282,30,67,10,1,13,118,45,0,0,18,2,0,62,8,1,5.0,21.0,6500만원
145,146,이상호,21L2B,0.11,45,68,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0.0,21.0,8500만원
146,147,박경수,21K2B,0.1,118,280,239,24,46,10,0,9,83,33,0,1,34,3,2,76,7,4,0.0,21.0,29000만원
147,148,정범모,21NC,0.1,19,23,19,2,4,1,0,1,8,5,0,0,2,1,0,4,2,1,0.0,21.0,4700만원
148,149,박지훈,21두1B,0.1,34,14,12,6,4,1,0,0,5,2,3,1,1,1,0,3,0,0,0.0,21.0,
149,150,김주성,21L3B,0.08,3,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0.0,21.0,
150,151,박승욱,21K2B,0.07,8,6,6,5,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0.0,21.0,3000만원
151,152,안상현,21S2B,0.07,37,40,39,9,10,2,0,1,15,4,3,1,1,0,0,15,0,0,0.0,21.0,3200만원
152,153,송준석,21삼LF,0.06,19,55,51,5,12,2,0,2,20,4,0,0,3,1,0,13,1,0,0.0,21.0,4700만원
153,154,조한민,21한RF,0.05,52,145,127,15,25,6,2,5,50,18,3,2,13,2,0,57,4,1,2.0,21.0,
154,155,김민하,21한RF,0.04,46,142,115,14,24,4,1,1,33,17,6,3,17,8,0,36,3,0,2.0,21.0,
155,156,정보근,21롯C,0.04,11,20,18,0,5,0,0,0,5,0,0,1,2,0,0,2,1,0,0.0,21.0,3400만원
156,157,김재현,21키C,0.03,39,51,46,2,10,7,0,0,17,8,0,1,3,0,0,12,1,2,0.0,21.0,
157,158,김석환,21K1B,0.03,5,20,19,1,5,0,0,1,8,3,0,0,0,1,0,7,0,0,0.0,21.0,3100만원
158,159,박준태,21키RF,0.03,27,58,46,10,9,3,0,0,12,4,1,0,10,2,0,16,0,0,0.0,21.0,5000만원
159,160,배성근,21롯SS,0.03,79,109,93,21,19,4,0,1,26,9,1,0,14,0,0,36,1,2,0.0,21.0,4200만원
160,161,이천웅,21LCF,0.03,68,211,181,20,36,7,0,2,49,16,3,2,25,3,0,23,11,1,1.0,21.0,10000만원
161,162,권민석,21두2B,0.02,33,15,14,8,3,2,0,0,5,1,0,0,1,0,0,7,0,0,0.0,21.0,3300만원
162,163,김은성,21키LF,0.02,6,18,18,1,5,3,0,0,8,2,0,0,0,0,0,6,0,0,0.0,21.0,
163,164,김병휘,21키2B,0.01,12,11,10,5,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0.0,21.0,
164,165,황경태,21두2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,
165,166,최종은,21롯2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,
166,167,나원탁,21롯,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,3100만원
167,170,고영표,21KP,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,21.0,30000만원
168,171,오장한,21N,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,
169,172,안주형,21삼2B,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3300만원
170,173,박관진,21키,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3000만원
171,174,김태균,21한1B,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,
172,181,박치국,21두P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,14500만원
173,211,안인산,21NP,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,
174,241,안영명,21KP,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,8500만원
175,271,김유영,21롯P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,4800만원
176,275,이명기,21키1B,-0.0,3,8,6,0,1,0,0,0,1,1,0,0,2,0,0,3,0,0,0.0,21.0,17500만원
177,276,오준혁,21SDH,-0.0,26,50,46,7,10,2,0,2,18,5,0,0,4,0,0,15,2,0,0.0,21.0,3200만원
178,277,김준완,21NRF,-0.0,13,14,12,3,2,0,1,0,4,1,0,0,2,0,0,0,0,0,0.0,21.0,5000만원
179,278,오정환,21K2B,-0.01,9,18,17,1,4,1,0,0,5,2,0,0,1,0,0,9,0,0,0.0,21.0,
180,279,고명성,21KSS,-0.01,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3100만원
181,280,장규현,21한C,-0.02,7,12,12,0,3,1,0,0,4,1,0,0,0,0,0,4,1,0,0.0,21.0,3200만원
182,281,서예일,21두3B,-0.02,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,
183,282,김재호,21두SS,-0.02,89,251,211,23,44,8,0,1,55,24,1,1,29,2,0,34,7,6,3.0,21.0,50000만원
184,283,권정웅,21삼C,-0.02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,4000만원
185,284,오태양,21N,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,
186,285,박상언,21한,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3200만원
187,287,전민재,21두3B,-0.02,9,5,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1.0,21.0,3200만원
188,288,김건형,21KRF,-0.03,11,39,33,4,7,1,0,0,8,0,1,0,6,0,1,6,0,0,0.0,21.0,
189,289,김수환,21키1B,-0.04,13,43,40,5,8,2,0,2,16,5,0,0,2,0,0,17,2,0,1.0,21.0,
190,290,이학주,21삼SS,-0.04,66,174,155,17,32,8,0,4,52,20,2,2,14,1,0,61,3,4,0.0,21.0,7000만원
191,291,프레이타스,21키DH,-0.04,43,148,139,13,36,10,0,2,52,14,0,0,7,1,0,29,7,0,1.0,21.0,
192,292,이주형,21키DH,-0.04,5,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0,0.0,21.0,3000만원
193,293,김응민,21삼C,-0.04,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,4900만원
194,294,박승규,21삼LF,-0.05,59,78,66,13,12,1,0,3,22,5,1,1,9,2,0,9,4,1,0.0,21.0,5700만원
195,295,이태훈,21삼,-0.05,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,3500만원
196,296,김현준,21삼RF,-0.05,13,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,21.0,3300만원
197,297,최민창,21LCF,-0.05,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3200만원
198,298,최우재,21N,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3000만원
199,299,신성현,21두3B,-0.05,11,15,11,3,2,0,0,0,2,0,0,0,3,1,0,6,0,0,0.0,21.0,4000만원
200,300,유서준,21SCF,-0.05,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,3000만원
201,301,지석훈,21N2B,-0.05,28,43,34,6,5,1,0,0,6,2,0,0,6,2,0,12,0,0,1.0,21.0,
202,302,이호연,21롯,-0.05,7,11,9,0,2,0,0,0,2,1,0,0,1,0,0,1,1,0,1.0,21.0,3000만원
203,303,황윤호,21K3B,-0.06,6,19,17,2,3,0,0,0,3,0,0,0,1,1,0,3,1,0,0.0,21.0,
204,304,문찬종,21키2B,-0.06,12,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0.0,21.0,
205,305,신민재,21L2B,-0.06,32,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0.0,21.0,
206,306,김주현,21롯DH,-0.06,8,17,16,1,4,0,0,0,4,0,0,0,1,0,0,6,0,0,0.0,21.0,
207,307,정상호,21SC,-0.06,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,21.0,
208,308,김용의,21L1B,-0.07,102,41,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1.0,21.0,
209,309,오명진,21두,-0.07,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21.0,
210,310,장준원,21L3B,-0.07,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3800만원
211,311,백동훈,21두CF,-0.07,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,21.0,
212,312,문상철,21KDH,-0.07,53,105,95,14,20,6,0,2,32,16,2,0,8,2,0,33,1,0,0.0,21.0,6600만원
213,313,손호영,21LSS,-0.07,8,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0.0,21.0,3500만원
214,314,김민혁,21두,-0.07,6,8,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0.0,21.0,3200만원
215,315,백승민,21삼,-0.08,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,21.0,
216,316,안권수,21두RF,-0.08,87,47,42,17,10,0,1,0,12,4,3,0,3,0,0,3,0,2,0.0,21.0,4800만원
217,317,오선진,21삼SS,-0.08,23,46,42,5,9,0,0,0,9,2,0,0,3,1,0,8,2,0,0.0,21.0,7000만원
218,318,안익훈,21LCF,-0.09,48,16,14,4,2,1,0,0,3,1,0,0,0,2,0,2,1,0,0.0,21.0,5500만원
219,319,도태훈,21N3B,-0.09,77,76,66,10,12,1,0,1,16,9,1,0,6,4,0,14,3,0,0.0,21.0,4000만원
220,320,박정우,21KCF,-0.09,32,61,48,3,9,1,0,0,10,4,0,2,10,2,0,8,2,1,0.0,21.0,
221,321,강민국,21K2B,-0.1,18,50,45,2,11,2,0,0,13,4,0,0,3,0,0,6,1,2,0.0,21.0,5000만원
222,322,이재율,21NLF,-0.11,23,17,15,5,3,2,0,0,5,1,1,1,0,2,0,3,1,0,0.0,21.0,
